signal id,timestamp,symbol,timeframe,signal type,indicators triggered,entry price,outcome,evaluated at,executed
f71b2480-92e6-4cc7-b0fb-245b3f21663b,2025-07-08 15:58:27,EURGBP,M5,SELL,MACD Bearish,0.86283,,,no
21b8e2ac-2d1b-41bd-b8bb-483518c170a9,2025-07-08 15:58:37,EURJPY,M5,BUY,MACD Bullish,171.879,,,no
9f6dbfb5-b128-4caa-a3bc-709167e72cf9,2025-07-08 15:58:37,GBPJPY,M5,BUY,MACD Bullish,199.266,,,no
4087ecf6-7155-4834-89e8-d361cd8198c2,2025-07-08 15:59:27,EURGBP,M5,SELL,MACD Bearish,0.86282,,,no
4b61da3c-a79e-49e2-9470-7e6a5bb54e0c,2025-07-08 16:00:07,AUDUSD,M5,SELL,MACD Bearish,0.65323,,,no
66b6d158-e201-4774-b327-d91b5a374323,2025-07-08 16:00:07,NZDUSD,M5,SELL,MACD Bearish,0.60048,,,no
94c82bce-e492-4394-a490-e249e360b396,2025-07-08 16:00:28,EURGBP,M5,BUY,MACD Bullish,0.86537,,,no
97b75456-854f-4764-b740-9edc27330b96,2025-07-08 16:01:08,AUDUSD,M5,SELL,MACD Bearish,0.6532,,,no
2ce6c530-6e5e-4e16-bb81-ecb36ca9d459,2025-07-08 16:01:08,NZDUSD,M5,SELL,MACD Bearish,0.59985,,,no
69963ca2-2903-4a01-97a8-ce71ba6b37cb,2025-07-08 16:02:09,AUDUSD,M5,SELL,MACD Bearish,0.65347,,,no
fe3d2664-a1ec-4452-84f5-7c054bde5375,2025-07-08 16:02:09,NZDUSD,M5,SELL,MACD Bearish,0.60004,,,no
352f0a5a-8b9b-4565-8eca-94c12c21469d,2025-07-08 16:02:09,NZDJPY,M5,BUY,MACD Bullish,87.986,,,no
64cce21f-f5b1-40d3-90af-d583584d1c80,2025-07-08 16:02:39,CADJPY,M5,SELL,MACD Bearish,107.417,,,no
fb5b463c-c27e-403d-a0c5-5a0b61371aa9,2025-07-08 16:02:59,AUDJPY,M5,BUY,MACD Bullish,95.776,,,no
95793b9d-d585-4c40-9f16-8be01739035b,2025-07-08 16:03:09,AUDUSD,M5,SELL,MACD Bearish,0.6532,,,no
52604835-078e-4d95-ade3-55e8a932a6bd,2025-07-08 16:03:09,NZDUSD,M5,SELL,MACD Bearish,0.60004,,,no
3d49d14c-cfb2-49fb-bd64-0a06be942fb4,2025-07-08 16:03:10,NZDJPY,M5,BUY,MACD Bullish,87.985,,,no
1b4ba1a2-dd90-4db4-b5a2-81c9d4f9f952,2025-07-08 16:03:50,USDCHF,M5,BUY,MACD Bullish,0.79757,,,no
b14a4e69-50ae-4aa5-8429-28c23fff1283,2025-07-08 16:03:50,CADJPY,M5,SELL,MACD Bearish,107.383,,,no
bf8fc9a4-2844-430b-9f2b-9d358214cdcd,2025-07-08 16:04:10,AUDUSD,M5,SELL,MACD Bearish,0.65345,,,no
34bd54df-7c12-4efc-ad01-c600db1a3e37,2025-07-08 16:04:10,NZDUSD,M5,SELL,MACD Bearish,0.59989,,,no
f5cf52c3-9ed8-4971-8646-a83061785e65,2025-07-08 16:04:10,NZDJPY,M5,BUY,MACD Bullish,87.982,,,no
6365adad-8695-46f4-87ae-9ea7a7674d86,2025-07-08 16:04:50,USDCHF,M5,BUY,MACD Bullish,0.79757,,,no
19341e12-6a48-4e1a-b841-98dd483573d8,2025-07-08 16:04:50,CADJPY,M5,SELL,MACD Bearish,107.386,,,no
b399e0c7-48a2-4d3e-a76b-3a484774cf1a,2025-07-08 16:05:11,AUDUSD,M5,SELL,MACD Bearish,0.65334,,,no
eb9c77f7-18df-4c4c-bde5-c20d72f29624,2025-07-08 16:06:31,USDCHF,M5,SELL,MACD Bearish,0.79689,,,no
dbf9f218-10cf-4a5b-8eba-9c24c6d4640e,2025-07-08 16:06:31,NZDJPY,M5,SELL,MACD Bearish,87.961,,,no
fcaf305e-d649-45cb-b6b3-83b26d9f7257,2025-07-08 16:06:31,CADJPY,M5,BUY,MACD Bullish,107.386,,,no
3cdc6194-1916-41c5-9462-000a47a9a651,2025-07-08 16:07:32,CADJPY,M5,BUY,MACD Bullish,107.386,,,no
a236abd3-51a8-4a70-9c67-9f04965486e4,2025-07-08 16:08:02,USDCHF,M5,SELL,MACD Bearish,0.79689,,,no
c67eb003-660f-48eb-95e0-bdeb01643a63,2025-07-08 16:08:33,CADJPY,M5,BUY,MACD Bullish,107.386,,,no
7efc5573-efbd-465b-8c08-a170d926a481,2025-07-08 16:09:33,CADJPY,M5,BUY,MACD Bullish,107.387,,,no
8b711f45-bc54-4b18-b79e-7bdcf9a52012,2025-07-08 16:11:34,AUDJPY,M5,BUY,MACD Bullish,95.827,,,no
c8206484-d0c9-4ba1-987e-fe678b2f3a04,2025-07-08 16:11:54,USDCHF,M5,SELL,MACD Bearish,0.79692,,,no
a86c539f-7961-4c66-b90b-d15da7d04a92,2025-07-08 16:12:35,AUDJPY,M5,BUY,MACD Bullish,95.826,,,no
d2e82277-28fe-4f23-950e-f62d28db4221,2025-07-08 16:13:25,CADCHF,M5,BUY,MACD Bullish,0.58363,,,no
14176aba-68b8-4bfd-89f2-5350cf31a234,2025-07-08 16:13:35,AUDJPY,M5,BUY,MACD Bullish,95.826,,,no
2551a0d3-7d8c-4fae-a593-d874639cc2f0,2025-07-08 16:14:26,CADCHF,M5,BUY,MACD Bullish,0.58363,,,no
80cef6ad-6804-40b9-b995-7958f809f913,2025-07-08 16:14:36,AUDJPY,M5,BUY,MACD Bullish,95.826,,,no
aa5cc289-ea42-425a-91bf-65f6612fd635,2025-07-08 16:15:26,USDCHF,M5,SELL,MACD Bearish,0.79697,,,no
494391b8-b977-451e-abe6-228453e912e6,2025-07-08 16:16:27,USDCHF,M5,SELL,MACD Bearish,0.79688,,,no
9aba9318-8b34-4990-b90e-19fbb22d97a7,2025-07-08 16:17:07,NZDJPY,M5,SELL,MACD Bearish,87.991,,,no
62b523ef-bfd8-49d9-800f-6f6583b17b84,2025-07-08 16:17:27,USDCHF,M5,SELL,MACD Bearish,0.79677,,,no
7a435b76-1b20-4d9c-898f-275b0f5b6909,2025-07-08 16:18:08,NZDJPY,M5,SELL,MACD Bearish,87.989,,,no
9306bc8d-7620-4bc3-88f5-47c987552b3a,2025-07-08 16:18:28,USDCHF,M5,SELL,MACD Bearish,0.79683,,,no
42d0158b-f709-4c9f-8fe9-7e55eaa3664f,2025-07-08 16:19:08,NZDJPY,M5,SELL,MACD Bearish,87.989,,,no
7e52db0f-2c31-4e88-9bf6-6ede864ecbd8,2025-07-08 16:19:29,USDCHF,M5,SELL,MACD Bearish,0.79681,,,no
7127c7cb-a2e3-4a0a-8c97-99a3d68c2eb1,2025-07-08 16:20:09,NZDUSD,M5,BUY,MACD Bullish,0.59998,,,no
aeb72e39-4841-4a97-af7b-b044cf5b8b38,2025-07-08 16:20:09,NZDCHF,M5,BUY,MACD Bullish,0.47837,,,no
98a66f80-6d63-47a7-85d5-acfbbd8ae457,2025-07-08 16:20:09,CADJPY,M5,SELL,MACD Bearish,107.339,,,no
a6be3b56-0ef3-46cc-8d24-63647f5553b4,2025-07-08 16:20:09,XAGUSD,M5,SELL,MACD Bearish,36.771,,,no
cc44fa54-6b49-45e1-a8b6-c02c92d00823,2025-07-08 16:20:29,USDCHF,M5,SELL,MACD Bearish,0.79678,,,no
21f736f6-521e-4fa0-8b34-e1e2b8674e4c,2025-07-08 16:21:10,NZDUSD,M5,BUY,MACD Bullish,0.60009,,,no
